sub,sub_num,orig_epoch,condition,item_name,familiarity,match_status,isPC_LPC
06,6,6,Metaphor,thought,5.47058823529412,matched,0.792570928846044
06,6,7,Anomalous,charging,4,matched,0.936299867588273
06,6,8,Anomalous,scattered,2.88235294117647,matched,0.948710528601286
06,6,9,Metaphor,rain,5.88235294117647,matched,0.956430719668843
06,6,10,Anomalous,fixed,3.875,matched,0.931253903599758
06,6,11,Literal,plant,6.1875,matched,0.935752302742315
06,6,12,Literal,fishing,6.11764705882353,unmatched,0.973623695329302
06,6,13,Anomalous,heart,2.35294117647059,unmatched,0.936319125292199
06,6,14,Anomalous,eye,2.52941176470588,matched,0.934855430569668
06,6,15,Anomalous,key,2.41176470588235,matched,0.978523525880406
06,6,16,Anomalous,walk,4.23529411764706,matched,0.872853115866494
06,6,17,Metaphor,pills,2.82352941176471,unmatched,0.946214524604714
06,6,19,Metaphor,couple,5.05882352941176,matched,0.910720902607119
06,6,21,Literal,tag,5.625,unmatched,0.959400151818189
06,6,22,Anomalous,chains,2.6875,matched,0.938835570686863
06,6,23,Literal,scale,5.17647058823529,matched,0.976704866840792
06,6,26,Literal,blind,5.70588235294118,matched,0.859955894755832
06,6,28,Metaphor,dry,3.26666666666667,unmatched,0.984231611006145
06,6,29,Metaphor,walking,4.9375,matched,0.932091563559526
06,6,30,Literal,shoulder,4.875,matched,0.941077175852091
06,6,32,Anomalous,drowning,3.4375,matched,0.958911224090312
06,6,33,Anomalous,growing,2.52941176470588,unmatched,0.930787386688838
06,6,35,Anomalous,bag,1.58823529411765,matched,0.946840259856891
06,6,36,Literal,broken,5.75,matched,0.969414296084229
06,6,37,Literal,bin,6.17647058823529,matched,0.968306558784358
06,6,39,Anomalous,teeth,1.88235294117647,unmatched,0.963746740983911
06,6,40,Anomalous,running,3.41176470588235,matched,0.919048834905842
06,6,41,Literal,couch,6,matched,0.959014204062899
06,6,44,Literal,empty,5.17647058823529,matched,0.996073878067164
06,6,45,Literal,tree,6.125,matched,0.954833144218809
06,6,46,Anomalous,body,3.94117647058824,unmatched,0.960408526647644
06,6,47,Metaphor,sheep,4,matched,0.948946619141761
06,6,48,Literal,food,5.76470588235294,matched,0.982891039322497
06,6,49,Metaphor,clock,6.35294117647059,matched,0.970472343812529
06,6,53,Literal,missing,6.17647058823529,unmatched,0.924875612532236
06,6,54,Metaphor,lifting,5.5,matched,0.867833177134671
06,6,55,Literal,tears,6.375,unmatched,0.949674474479537
06,6,56,Metaphor,light,4.94117647058824,matched,0.91290931834446
06,6,57,Literal,jail,5.82352941176471,matched,0.947024007459781
06,6,58,Literal,couple,5.82352941176471,matched,0.902964761497129
06,6,60,Anomalous,fishing,1.35294117647059,unmatched,0.955896140385458
06,6,61,Metaphor,growing,2.75,unmatched,0.962569443525478
06,6,62,Literal,lifting,6.0625,matched,0.930468751628558
06,6,63,Literal,dry,5,unmatched,0.95897053272333
06,6,64,Anomalous,couch,2.4375,matched,0.972393594369994
06,6,65,Anomalous,head,4.375,matched,0.930014515599438
06,6,66,Anomalous,tag,2.66666666666667,unmatched,0.949292994778232
06,6,68,Metaphor,bag,6.38888888888889,matched,0.949655486485766
06,6,69,Literal,sheep,4.52941176470588,matched,0.859810030302854
06,6,70,Metaphor,teeth,2.6875,unmatched,0.976955343320856
06,6,72,Metaphor,heart,4.625,unmatched,0.896379061314372
